,problem_number,chapterwise_problem_number,PRB,SOL
0,4,2.1.,"True or False: For a ﬁxed number of observations in a data set, introducing more vari ables normally generates a model that has a better ﬁt to the data. What may be the drawback of such a model ﬁtting strategy?","True. However, when an excessive and unnecessary number of variables is used in a lo gistic regression model, peculiarities (e.g., speciﬁc attributes) of the underlying data set dis proportionately affect the coefﬁcients in the model, a phenomena commonly referred to as “overﬁtting”. Therefore, it is important that a logistic regression model does not start training with more variables than is justiﬁed for the given number of observations. 2.3. SOLUTIONS The odds of success are deﬁned as the ratio between the probability of success p ∈ [0, 1]"
1,5,2.2.,Deﬁne the term “odds of success” both qualitatively and formally. Give a numerical example that stresses the relation between probability and odds of an event occurring.,"and the probability of failure 1 − p. Formally:   Odds(p) ≡ ! p 1 − p . For instance, assuming the probability of success of an event is p = 0.7. Then, in our example, the odds of success are 7/3, or 2.333 to 1. Naturally, in the case of equal probabilities where p = 0.5, the odds of success is 1 to 1."
2,6,2.3.,"1. Deﬁne what is meant by the term ""interaction"", in the context of a logistic regression predictor variable. LOGISTIC REGRESSION 2. What is the simplest form of an interaction? Write its formulae. 3. What statistical tests can be used to attest the signiﬁcance of an interaction term?","1. An interaction is the product of two single predictor variables implying a nonadditive effect. 2. The simplest interaction model includes a predictor variable formed by multiplying two ordinary predictors. Let us assume two variables X and Z. Then, the logistic regression model that employs the simplest form of interaction follows: β0 + β1X + β2Z + β3XZ, where the coefﬁcient for the interaction term XZ is represented by predictor β3. 3. For testing the contribution of an interaction, two principal methods are commonly employed; the Wald chisquared test or a likelihood ratio test between the model with and without the interaction term. Note: How does interaction relates to information theory? What added value does it employ to enhance model performance?"
3,7,2.4.,"True or False: In machine learning terminology, unsupervised learning refers to the mapping of input covariates to a target response variable that is attempted at being predicted when the labels are known.",False. This is exactly the deﬁnition of supervised learning; when labels are known then supervision guides the learning process. LOGISTIC REGRESSION
4,8,2.5.,"Complete the following sentence: In the case of logistic regression, the response vari able is the log of the odds of being classiﬁed in [...].","In the case of logistic regression, the response variable is the log of the odds of being clas siﬁed in a group of binary or multiclass responses. This deﬁnition essentially demonstrates that odds can take the form of a vector."
5,9,2.6.,"Describe how in a logistic regression model, a transformation to the response variable is applied to yield a probability distribution. Why is it considered a more informative repres entation of the response?","When a transformation to the response variable is applied, it yields a probability distribu tion over the output classes, which is bounded between 0 and 1; this transformation can be employed in several ways, e.g., a softmax layer, the sigmoid function or classic normalization. This representation facilitates a softdecision by the logistic regression model, which permits construction of probabilitybased processes over the predictions of the model. Note: What are the pros and cons of each of the three aforementioned transformations?"
6,10,2.7.,"Complete the following sentence: Minimizing the negative log likelihood also means maximizing the [...] of selecting the [...] class. 2.2.2 Odds, Logodds","Minimizing the negative log likelihood also means maximizing the likelihood of selecting the correct class. 2.3.2 Odds, Logodds"
7,11,2.8.,Assume the probability of an event occurring is p = 0.1. 1. What are the odds of the event occurring?. 2. What are the logodds of the event occurring?. 3. Construct the probability of the event as a ratio that equals 0.1. 2.2. PROBLEMS,"1. The odds of the event occurring are, by deﬁnition: odds = (0.1 0.9) = 0.11. 2. The logodds of the event occurring are simply taken as the log of the odds: logodds = ln(0.1/0.9) = −2.19685. 3. The probability may be constructed by the following representation: probability = odds odds + 1 = 0.11 1.11 = 0.1, or, alternatively: p = exp (ln odds) exp (ln odds) + 1 = 0.11 1.11 = 0.1. Note: What is the intuition behind this representation? 2.3. SOLUTIONS"
8,12,2.9.,"ility of success is 0.8. True or False: If the odds of success in a binary response is 4, the corresponding probab","True. By deﬁnition of odds, it is easy to notice that p = 0.8 satisﬁes the following relation: odds = (0.8 0.2) = 4"
9,13,2.10.,"their respective odds. Draw a graph of odds to probabilities, mapping the entire range of probabilities to","The graph of odds to probabilities is depicted in Figure 2.12. Odds odds(p) = p 1−p 10,0 8,0 6,0 4,0 2,0 0,1 0,2 0,3 0,4 0,5 0,6 Probability 0,7 0,8 0,9 FIGURE 2.12: Odds vs. probability values. LOGISTIC REGRESSION"
10,14,2.11.,"The logistic regression model is a subset of a broader range of machine learning models known as generalized linear models (GLMs), which also include analysis of variance (AN OVA), vanilla linear regression, etc. There are three components to a GLM; identify these three components for binary logistic regression.","A binary logistic regression GLM consists of there components: 1. Random component: refers to the probability distribution of the response variable (Y ), e.g., binomial distribution for Y in the binary logistic regression, which takes on the values Y = 0 or Y = 1. 2. Systematic component: describes the explanatory variables: (X1, X2, ...) as a combination of linear predictors. The binary case does not constrain these variables to any degree. 3. Link function: speciﬁes the link between random and systematic components. It says how the expected value of the response relates to the linear predictor of explanatory variables. Note: Assume that Y denotes whether a human voice activity was detected (Y = 1) or not (Y = 0) in a give time frame. Propose two systematic components and a link function adjusted for this task."
